randomisationGroup,pool,groupTotalMessages,groupMicroDialogs,poolVariants,microDialog,folderPath,order,nodeUid,type,comment,resultVariable,answerType,channel,containsRules,isCommand,triggerExprs,en-GB,ro-RO
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,6,md-009#006,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Morning $participantName!,Neața! $participantName!
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,7,md-009#007,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Hi! 🌞,Bună! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,8,md-009#008,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Hi $participantName! 🌞,Salut $participantName! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,9,md-009#009,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Hey! 🌞,Hei! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,10,md-009#010,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Hey $participantName! 🌞,Hei $participantName! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,11,md-009#011,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Hi there! 🌞,Bună! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,12,md-009#012,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Hi there $participantName! 🌞,Salut $participantName! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,13,md-009#013,message,---,,expects NO answer,👤 App/partner message to participant,3,no,$systemHourOfDay calculated value is smaller or equal than 11 ; $systemHourOfDay calculated value is bigger or equal than 6 ; $morningGreetingDisplayed calculated value equals 0,Good morning $participantName! 😊,Bună dimineața $participantName! 😊
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,14,md-009#014,message,---,,expects NO answer,👤 App/partner message to participant,3,no,$systemHourOfDay calculated value is smaller or equal than 11 ; $systemHourOfDay calculated value is bigger or equal than 6 ; $morningGreetingDisplayed calculated value equals 0,Good morning $participantName! 🌞,Bună dimineața $participantName! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,15,md-009#015,message,---,,expects NO answer,👤 App/partner message to participant,3,no,$systemHourOfDay calculated value is smaller or equal than 11 ; $systemHourOfDay calculated value is bigger or equal than 6 ; $morningGreetingDisplayed calculated value equals 0,Morning $participantName! 💤,Neața $participantName! 💤
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,16,md-009#016,message,---,,expects NO answer,👤 App/partner message to participant,3,no,$systemHourOfDay calculated value is smaller or equal than 11 ; $systemHourOfDay calculated value is bigger or equal than 6 ; $morningGreetingDisplayed calculated value equals 0,Morning $participantName! 🌞,Neața $participantName! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,17,md-009#017,message,---,,expects NO answer,👤 App/partner message to participant,3,no,$systemHourOfDay calculated value is bigger or equal than 6 ; $systemHourOfDay calculated value is smaller or equal than 11 ; $morningGreetingDisplayed calculated value equals 0,Good morning $participantName ☀️,Bună dimineața $participantName ☀️
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,1,md-011#001,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Thanks for the chat! Wishing you an excellent rest of your day. Talk to you soon!,Mulțumesc pentru conversație! Sper să ai o zi minunată în continuare. Ne vedem în curând!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,2,md-011#002,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,It was great exchanging thoughts with you! Have an amazing rest of your night. Catch you later!,A fost minunat să fac schimb de idei cu tine! Să ai o seară plăcută. Pe curând!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,3,md-011#003,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,I really enjoyed our conversation. Have a fantastic day ahead! Goodbye for now!,Întradevăr mi-a plăcut foarte mult conversația noastră. Îți urez o zi fantastică! La revedere pentru moment!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,4,md-011#004,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Thanks for sharing with me. Wishing you a wonderful night. Until next time!,Mulțumesc că ai împărtășit informațiile cu mine. Îți doresc o noapte minunată. Până data viitoare!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,5,md-011#005,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,It was awesome talking to you! Enjoy the rest of your day. Take care!,A fost minunat să vorbesc cu tine! Bucură-te de restul zilei. Ai grijă de tine!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,6,md-011#006,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Thanks for the great chat! Have a restful night and sweet dreams. See you soon!,Mulțumesc pentru această  conversație minunată! Să ai o noapte odihnitoare și vise plăcute. Ne vedem în curând!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,7,md-011#007,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,I appreciate our conversation today. Have a fantastic day! Stay awesome!,Apreciez conversația noastră de astăzi. Să ai o zi fantastică! Rămâi grozav!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,8,md-011#008,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,It was a pleasure chatting with you! Have a great night and take it easy!,A fost o plăcere să stau de vorbă cu tine! O seară bună și odihnește-te!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,9,md-011#009,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Thanks for the lovely exchange! Wishing you a bright and wonderful day ahead. Talk to you soon!,Îți mulțumesc pentru acest schimb minunat de informații! Îți doresc o zi luminoasă și minunată. Vorbim pe curând!
r_GenericGoodbyeMessage,r_GenericGoodbyeMessage @ Generic,10,1,10,Generic,Goodbye 🚪,10,md-011#010,message,Generic goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,It was so nice to connect with you! Have a relaxing night. Take care and see you later!,Am fost încântat să iau legătura cu tine! Să ai o seară plăcută. Ai grijă de tine și ne vedem mai târziu!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,1,md-012#001,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,"Great job today! Keep it up, and I'm here if you need me. Bye!",Ai făcut o treabă bună astăzi! Continuă munca bună și voi fi aici dacă ai nevoie de mine. Pa pentru moment!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,2,md-012#002,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Awesome work! Don’t forget your meds. Catch you later!,Bună treabă! Nu-ți uita medicamentele. Pe mai târziu!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,3,md-012#003,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,"Well done! Watch those triggers, and see you next time!",Foarte bine! Ferește-te de declanșatoare și ne vedem data viitoare!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,4,md-012#004,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,You’re doing great! Reach out if you need me. Take care!,Te descurci de minune! Contactează-mă dacă ai nevoie de mine. Ai grijă de tine!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,5,md-012#005,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Nice job! Keep your inhaler close. Bye for now!,Bună treabă! Ține-ți inhalatorul la îndemână. La revedere pentru moment!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,6,md-012#006,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,You’re on track! I’m here if you need help. See you!,Ești pe drumul cel bun! Sunt aici dacă ai nevoie de ajutor. Pe curând!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,7,md-012#007,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,"Great work! Follow your plan, and talk soon!",Bună treabă! Urmează-ți planul și revino în curând!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,8,md-012#008,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,"Awesome job! Stay positive, and catch you later!",Bună treabă! Rămâi pozitiv și ne vedem mai târziu!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,9,md-012#009,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,You did great! Keep up with your meds. Take care!,Te-ai descurcat foarte bine! Continuă să îți iei medicamentele. Ai grijă de tine!
r_PatientCoachingGoodbyeMessage,r_PatientCoachingGoodbyeMessage @ Patient coaching goodbye messages,10,1,10,Patient coaching goodbye messages,Goodbye 🚪,10,md-012#010,message,Patient coaching goodbye message,,expects NO answer,👤 App/partner message to participant,0,no,,Fantastic progress! Small steps count. See you soon!,Progrese fantastice! Pașii mici contează. Ne vedem în curând!
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,3,md-013#003,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,How did you sleep?,Cum ai dormit?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,4,md-013#004,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,"How did you sleep, $participantName?","Cum ai dormit, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,5,md-013#005,message,Contingent on sleep monitoring data,$sleepQualityLastNight_ShiftedScale,likert,👤 App/partner message to participant,0,no,,How was your sleep?,Cum a fost somnul tău?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,6,md-013#006,message,Contingent on sleep monitoring data,$sleepQualityLastNight_ShiftedScale,likert,👤 App/partner message to participant,0,no,,"How was your sleep, $participantName?","Cum a fost somnul tău, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,7,md-013#007,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,Did you sleep well?,Ai dormit bine?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,8,md-013#008,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,"Did you sleep well, $participantName?","Ai dormit bine, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,9,md-013#009,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,How did you sleep last night?,Cum ai dormit noaptea trecută?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,10,md-013#010,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,"How did you sleep last night, $participantName?","Cum ai dormit noaptea trecută, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,11,md-013#011,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Hope you woke up feeling great.,Sper că te-ai trezit simțindu-te bine.
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,12,md-013#012,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"Hope you woke up feeling great, $participantName.","Sper că te-ai trezit simțindu-te bine, $participantName."
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,13,md-013#013,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert silent,👤 App/partner message to participant,0,no,,How was your night? Did you sleep okay?,Cum a fost noaptea ta? Ai dormit bine?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,14,md-013#014,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,How’s your energy today?,Cum îți este energia astăzi?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,15,md-013#015,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"How’s your energy today, $participantName?","Cum îți este energia astăzi, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,16,md-013#016,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Did you get enough rest?,Te-ai odihnit suficient?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,17,md-013#017,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"Did you get enough rest, $participantName?","Te-ai odihnit suficient, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,18,md-013#018,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Hope you slept peacefully.,Sper că ai dormit liniștit.
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,19,md-013#019,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"Hope you slept peacefully, $participantName.","Sper că ai dormit liniștit, $participantName."
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,20,md-013#020,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,How was your rest last night?,Cum te-ai odihnit noaptea trecută?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,21,md-013#021,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Did you have a good night’s sleep?,Ai avut un somn bun?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,22,md-013#022,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"Did you have a good night’s sleep, $participantName?","Ai avut un somn bun, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,23,md-013#023,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,How was your sleep? Feeling rested?,Cum a fost somnul tău? Te simți odihnit?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,24,md-013#024,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"How was your sleep, $participantName? Feeling rested?","Cum a fost somnul tău, $participantName? Te simți odihnit?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,25,md-013#025,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,How did you sleep? Ready for the day?,Cum ai dormit? Ești pregătit pentru ziua de azi?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,26,md-013#026,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"How did you sleep, $participantName? Ready for the day?","Cum ai dormit, $participantName? Ești pregătit pentru ziua de azi?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,27,md-013#027,message,Contingent on sleep monitoring data,$sleepQualityLastNight_ShiftedScale,likert,👤 App/partner message to participant,0,no,,Hope your sleep was good.,Sper că ai dormit bine.
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,28,md-013#028,message,Contingent on sleep monitoring data,$sleepQualityLastNight_ShiftedScale,likert,👤 App/partner message to participant,0,no,,How was your sleep last night?,Cum ai dormit noaptea trecută?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,29,md-013#029,message,Contingent on sleep monitoring data,$sleepQualityLastNight_ShiftedScale,likert,👤 App/partner message to participant,0,no,,"How was your sleep last night, $participantName?","Cum ai dormit noaptea trecută, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,30,md-013#030,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Hope you slept well and feel refreshed!,Sper că ai dormit bine și te simți odihnit!
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,31,md-013#031,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Hope you had a restful night.,Sper că ai avut o noapte odihnitoare.
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,32,md-013#032,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,Did you have a restful night?,Ai avut o noapte odihnitoare?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,33,md-013#033,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"Did you have a restful night, $participantName?","Ai avut o noapte odihnitoare, $participantName?"
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,34,md-013#034,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,How’s your energy after your sleep?,Cum îți este energia după ce ai dormit?
r_InquiryLastNightSleep,r_InquiryLastNightSleep @ Inquire about last night's sleep,33,1,33,Inquire about last night's sleep,,35,md-013#035,message,Contingent on sleep monitoring data,$sleepQualityLastNight,likert slider,👤 App/partner message to participant,0,no,,"How’s your energy after your sleep, $participantName?","Cum îți este energia după ce ai dormit, $participantName?"
r_InquiryWellBeing,r_InquiryWellBeing @ Inquire about patient's well-being,5,1,5,Inquire about patient's well-being,,3,md-014#003,message,---,$currentLevelOfPhysicalWellBeing,select one,👤 App/partner message to participant,0,no,,How's it going for you today? 😊,Cum îți merge astăzi? 😊
r_InquiryWellBeing,r_InquiryWellBeing @ Inquire about patient's well-being,5,1,5,Inquire about patient's well-being,,4,md-014#004,message,---,$currentLevelOfPhysicalWellBeing,likert slider,👤 App/partner message to participant,0,no,,How are you feeling today? 🤔,Cum te simți astăzi? 🤔
r_InquiryWellBeing,r_InquiryWellBeing @ Inquire about patient's well-being,5,1,5,Inquire about patient's well-being,,5,md-014#005,message,---,$currentLevelOfPhysicalWellBeing,likert silent,👤 App/partner message to participant,0,no,,What's up $participantName? How are you doing? 👋,Ce mai e nou $participantName? Ce mai faci? 👋
r_InquiryWellBeing,r_InquiryWellBeing @ Inquire about patient's well-being,5,1,5,Inquire about patient's well-being,,6,md-014#006,message,---,$currentLevelOfPhysicalWellBeing,select one,👤 App/partner message to participant,0,no,,Everything good? How's your day been until now? 👍,Este totul în regulă? Cum a fost ziua ta până acum? 👍
r_InquiryWellBeing,r_InquiryWellBeing @ Inquire about patient's well-being,5,1,5,Inquire about patient's well-being,,7,md-014#007,message,---,$currentLevelOfPhysicalWellBeing,select one,👤 App/partner message to participant,0,no,,How are things with you? 🤗,Cum îți merge? 🤗
r_CompassionateFeedback,r_CompassionateFeedback @ Compassionate feedback when patient is not doing so great,6,1,6,Compassionate feedback when patient is not doing so great,Inquire about patient's well-being,1,md-015#001,message,To be shown only if $currentLevelOfPhysicalWellBeing<=0,,expects NO answer,👤 App/partner message to participant,2,no,$currentLevelOfPhysicalWellBeing calculated value is bigger than -99 ; $currentLevelOfPhysicalWellBeing calculated value is smaller or equal than 0,"I hear you, stress can be tough.",Înțeleg că stresul poate fi dificil de gestionat.
